cleaned_tweet,sentiment
masih banyak deadline lk trus ada kenaikan ppn belom lagi coretax kek bisa gak satu baru tgl ini anjir coretax ini kek mana jg gue gak paham staff gue yg kapan hari pergi sosialisasi gatau dah masih inget apa nggak,negative
gebrakan apalagi nii bahkan gue blm belajar coretax sm tim tax besok,positive
itu artinya coretax berlaku ppn berlaku juga,neutral
samaaa woy coretax bikin puyeng bgt dah,negative
karena disistem coretax udah terlanjur disetting jadi nilai dpp yg diutak atik emang negara goblok bikin susah aja untung gaji gede awowkwowk,negative
nah itu masalahnya sistem belum rampung dah diluncurin malah bikin kita yg ngerjainnya bingung apalagi pas kebetulan sertelnya abis mau diperpanjang takutnya ga kepake ga diperpanjang takut juga itu coretax belum bisa bikin faktur pajak arrghh asli muak anjir,negative
min min apakah coretax belum bisa di akses karena tadi saya buka ada tulisan sedang dalam peningkatan,neutral
ppn dengan mekanisme pajak masukan dan pajak keluaran itu sangat butuh administrasi yang rapi yang mana itu impian di kita semoga beneran coretax merapikan ini sudah tahun lho,positive
beneeeerrr ppn bikin pusing coretax bikin makin pusyiiing pajak tiap tahun ganti sistem muluuuuu belum lagi ganti tahun pasti terbitlah surat cinta alias sp dk,negative
mending turu daripada mikirin coretax haha,negative
web coretax lg error ya mana web djponline juga error ini sebenarnya memudahkan atau menyusahkan ya nih sistem,negative
bikin pusing nanti di informasi invoice tarif tetap tapi ada dpp nilai lain pake formulasi x sama rerouting format import baru faktur pajak lagi ke coretax wkwkwk,negative
berarti sebenernya emang dr sisi sistem kita masih butuh effort kan ten kalau di coretax nanti yg dpp nilai bukannya kode ya,negative
manaa coretax belum terlalu paham ahhh sebel,negative
yg aku bingungin itu nanti ngitungnya gmn kita masukkin nilai lain setelah kita itung sendiri ke sistem coretax ato coretax ada hitungannya jg,negative
tetep sih itu kan hitungan berlaku ampe jan kan ya kayaknya itu krn sistem coretax udh disetting blm make coretax jg sih aku tp kan semua udh ganti klo dadakan ganti lg gedebak gedebuk ya makanya peralihan kocak emang,negative
dahlah ga ngerti ppn ini jadi naik apa ngga ditambah masih ga ngerti tentang coretax pula anjinggg anjingg gw yang ga ngerti tuh gw,negative
selain pusing mikirin ppn gua juga pusing peralihan sistem pajak ini ke coretax anjir mana pas mau buka malah error kek gini lieur keur tanggal merah muka nu kieu,negative
min kalo npwp statusnya ne masih bisa dikasih role access buat coretax gak,neutral
setelah pusing sama masalah ppn ini gua lebih pusing sama peralihan sistem ke coretax,negative
me as tax staff woeelah anjer ini nanti harus hitung sendiri dulu apa gmn njrot coretax siap di coretax ready gk neh,negative
other than that mungkin karena settingan coretax nya udah diset kali jadi di level vat rate tetep di dppnya editable,negative
wallahi aku bingung bgt coretax dan ppn ini sakjane pie,negative
paling pusing setting format import xml beda routingan lagi ke coretax beda lagi formatnya untuk transaksi yang banyak,negative
kon yo lapo tanggal abang mbuka web e faktur wes ganti coretax saiki,neutral
asbun desember ternyata bener wkwkwk udah curiga waktu contoh import ppn coretax masih pake tarif tapi ada kolom tarif kek tarifnya bsia diganti manual sesuai transaksi lagian kasih full statement kenapa desember sih tagihan januari udah ada yg dikirim team ar,negative
sementara rilis lah yang bener peraturannya lain lain belum kita besok dihadepin coretax dll yg masih ga jelas,negative
daripada ngonten terus mendingan benerin coretax elo,negative
prakteknya bakal beda percaya aja deh dah pusing coretax sekarang ini juga pusing semakin di depan mana harga dah naik,positive
sebenernya waktu itu lebih banyak testing rule sama flow coretax system sih pak sistemnya harusnya masih sama cuma kalo kalkukasi nya yang berubah dari sisi qa yang bakal effort,neutral
udah sibuk release plan manage vault config whitelist ip sistem ngikuti dokumentasi coretax udah siap udah siap sanity test eh tiba tiba ada pengumuman dari pemerintah kenaikan ppn khusus buat ppnbm pastinya dari tim product dan legal kaji lagi mengingat regulasinya,negative
tidak hanya itu perusahaan juga persiapan coretax yg menggantikan semua aplikasi perpajakan yg sudah ada sekarang mulai jan pertanyaan di coretax tarif ppn masih atau lalu bagi dealer mobil pakai atau secara mobil ada yg kena ppnbm,neutral
saya tambahi pajak coretax nya jadi jalan per jan tarif di coretax atau,neutral
hallo admin apakah coretax sudah bisa dibuka apa bisa memilih tarif ppn karena yg saya jual barang murah idr idr bukan barang mewah kata yg kena ppn adalah barang mewah ayo dijawab bisnis lagi sepi megap enak pejabat terima gaji tanpa mikir,negative
gak usah sok asik min lagi pada ngantor beresin system ppn lom lagi pada byk yg protes coretax server down ini yg business ttp jalan januari gak bisa bikin faktur dong lom lagi belum keluar regulasi masa ppn pake dasar sosmed presiden janji jangan keluar sp dk dan atau,negative
ga bisa bayangin se lembur apa tanggal besok migrasi coretax ppn closingan akhir taun mau nangis aja rasanya,negative
sampai hari ini masih kesulitan masuk coretax padahal sudah coba menggunakan provider berbeda lalu masuk e faktur juga tidak bisa untuk sekedar cek saja apa server memang sedang bermasalah mencoba login djp online sama juga tidak bisa padahal coba buka web lain aman saja,negative
mengawali dengan membaca dan memikirkan si ppn eh sama coretax juga hadee,negative
aduhh kalau server down kan bukan berita baru ya tapi coretax emang hrs down sih krn tarif ppn nya kan blm ada underlying regulationnya,negative
pada ribut jadi tidaknya ppn naik ke mending besok praktekin langsung di coretax sistem,negative
pic sistem buat divisi accounting di kantorku tuh udh berkali ngajak meeting aku dan bosku tax div tp aku sama bosku sepakat buat hold sampe ada ba dr pemerintah toh coretax aja msh jelek websitenya codingnya msh keliatan padahal januari nanti udh dipake,negative
ppn coretax spt tahunan op spt tahunan badan ppn des pph des rekonsiliasi ini gw gasiap masuk kerja besok deh fiks naik ga sih selalu gini deh pajak tiap ada kebijakan baru suka simpang siur dulu,negative
selamat pagi coretax system,neutral
libur hari ku usah hr ini besok udah kerja udah pusing coretax mau nangis,negative
apakah saya masih bisa pakai tarif apa ada pilihan tarif dalam menu coretax sehingga bisa memilih barang mewah atau tidak lha barang dagangku harganya antara rp rp apakah disebut mewah mengapa para customerku revisi po nya ppn menjadi,neutral
hadohhh bsk dah masuk krj awal tahun biasanya rempong riweuhh lahhh punya rekan kerja sbgn bsr toksik apalagi bos nya toksik semuaaaa blm lagi bsk musti ngurusin coretax discuss tarif ppn sama bos toksik semuanya harus gua yg ngatur sendiri,negative
hello mulai tgl ini apa djponline sudah berganti layanan menjadi coretax kak sya sejak semalam mencoba akses kok gk bs ya,negative
min apakah coretax masih belum bisa diakses,neutral
gws ya pasti bukan ngerjain efaktur staff gw dong pagi ini laporan dia lg gabut mau kerjain efaktur ga bisa krn djponline down server coretax down juga,negative
untung ppn gak jadi cuman yaa coretax ini bikin puyeng semoga tiket konser bangtan besok gk mahal amatt,negative
gak siap masuk kerja buat besok krn coretax gak tau bakal gimana besok juga baca di x coretax hari ini blm bisa diakses padahal udah launching pas jam wkwk,negative
presiden prabowo subianto meluncurkan coretax system tersebut bersamaan dengan rapat tutup kas apbn,neutral
ppn naik coretax dijalanin sistem pengkreditan fpm jatuh tempo bulan di berhentikan otomatis setoran fpk bakalan jauh lebih tinggi krn mau tax planning pun susah tpi for some reason bagus sihh tpi yachh gtu deh,positive
tidur jam pagi bangun jam cek server djponline down server coretax down mau ketawa atau nangis nih,negative
anjir gw tu deg degan bgt menyambut gara coretax anj,negative
pagi pagi sarapan coretax ul,neutral
lho katanya pake coretax kok masih pake app e faktur,negative
prabowo luncurkan coretax berlaku januari bisa untuk mengajukan permohonan pengukuhan pengusaha kena pajak pkp,neutral
korban coretax korban x,negative
min kalo mau ubah alamat di coretax buat wp op dokumen yg harus diunggahnya apa aja ya,neutral
cara pengisian kolom addres detail pada registrasi aktivasi nik di coretax sangat sulit apakah ada ketentuan khusus untu cara pengisian karena sudah saya coba pakai text ind eng tetap gagal,negative
awal tahun rekapan belum ke garap harus pelajarin coretax ditabrak kerjaan harian muluuu mampuss,negative
ada di coretaxnya kak cuma aku belum karena coretax aku masih pakai login badan,neutral
badan jadi tumbang gegara seharian ngulik coretax yang masih gagal bikin sertifikasi elektronik kode otorisasi pic jadi berasa bahasan meluruskan ttg pajak mewah alkes itu ga ada apa nya dibanding keselnya ama coretax dan dpp nilai lain yg harus input manual,negative
aplikasi faktur pajak aja dari jaman jebot udah kaga pernah jelas ini lagi bikin coretax buat semua pajak wgwgw surem,negative
mulai januari wajib pajak bisa akses layanan coretax djp,neutral
tolong doakan semoga coretax dan drama ppn hari ini lebih terkendali alias capek banget ya allah,negative
acak an semrawut implementasi system coretax byk pd compain masih belum bisa bikin faktur gak bisa nagih padahal kalo gak salah dah dilaunching th kmarin utk perush tertentu sebelum scr nasional dagelan system prematur yg menyusahkan kebanggaan kosong gak rapih,negative
halo min saya mau ngajukan permhonan penerbitan skd spdn via coretax tapi gagal terus mau akses via juga nggak bisa,neutral
lebih bingung lg coretax gue baca di grup pajak ampe nanyain coretax,negative
coretax djp apa itu apa tujuannya dan bagaimana cara login panduan lengkap untuk wajib pajak,neutral
min sejak coretax berlaku kan otomatis pemusatan ya gaeelu lagi ada permohonankah kalo yang transaksi cabang gmn cara buat fakturnya ya,neutral
halo min mau nanya kalo mau upload faktur pake coretax itu loginnya sbg pic nya ya lalu impersonate akun pt mohon pencerahannya min thanks,neutral
yaelah yang ngurusin pajak aja sistemnya berantakan gini maksa banget mau launching lu beresin dulu internal elu trus coba lu test ngisi coretax deh gimana rasanya enak manis gurih nah setelah fix baru deh lu kasih ke pelanggan heleh boomers,negative
saya masih bingung dg cara hitung coretax mana websitenya bapuk pula,negative
kalau gue salah ngitung pph atau pokoknya gue salahin pemerintah soalnya yang bener aja dong ribet banget dpp nya ngitungnya begini mana coretax juga angot angotan dahlah januari gausah ngapa ngapain sampai semuanya bener,negative
padahal cuma like dua tweet ttg coretax langsung muncul tweet lainnya dengan keluhan yang sama,negative
gak nyangka tweet ttg coretax masuk timeline gue seketika yg tadinya senyam senyum liat cokipop langsung asem lagi alias gue pusing anjir,negative
cara validasi pphtb melalui ctas gmn ya min soalnya aku mau ke notaris besok kalo buru buru apakah masih bisa melalui ephtb notaris ya layananya masih di buka ya atau wajib coretax jg kalo transaksi,neutral
min aku punya sktd untuk tahun tapi diperolehnya dari djp online apakah masih berlaku hingga skrng apakah wajib permohonan melalui coretax aja yang diakui pelaporannya realisasinya rkip di coretax dimenu apa ya atau pelaporannya di ctas apa di djp online,neutral
dokumen yang perlu dilampirkan sebagai konsultan pajak di coretax ini apa aja yang perlu di upload ya berkasnya ga bisa di kirim langsung kah ke kpp tempat badan terdaftar,negative
min signer id ini fungsinya untuk apa ya apakah angka random untuk password nya itu password coretax pic atau passphrase fungsi passphrase untuk apa aja ya,neutral
dulu kan ngasih kewenangan kuasa atau wakil perlu ada persyaratan khusus ya misal lulusan d pajak nah kalo coretax ini tinggal centang ada di submenu kuasa ya min soalnya ga ada dokumen yang perlu dilampirkan untuk persyartan kualifikasinya,neutral
cara daftar npwp untuk badan cabang dan oppt melalui coretax gmn ya min kalo usaha lebih dari satu,neutral
coretax ini beneran bikin sakit kepala,negative
cari keyword 'coretax' buat dapet update info malah yg nongol tweet bokep pake keyword yg sama dasar cewek bokep sampah,negative
min ini coretax akun badan fungsinya apa ya kalo buat faktur dan bupot sama pendatangannya semua langsung login ke impersonate op nya kan ya cmiiw,neutral
ini kalo mau ubah passphrase di coretax gmn ya btw di reset password lagi cuma di minta password tanpa minta passphrase lagi passphrase ini digunakan waktu kapan aja sih,neutral
hi untuk aktivasi layanan digital di coretax belum bisa untuk saat ini walaupun ada link nya tapi kenapa cuma ada masukkan data paspor,neutral
min ini di coretax ga ada tombol submit faktur pajaknya itu kenapa ya,neutral
tempatku gak jalan blass coretax hari ini,negative
malem ini nyobain bikin faktur pajak pake coretax alhamdulillah sistemnya lancar krn org aktif makenya di pagi sore hari meski sistem lancar jaya tp ttp msh blm berani upload faktur,positive
jam segini lagi nyoba coretax karena baru kepikiran efaktur baru,positive
aplikasi coretax ini beneran lebih fungsional dan berguna ketimbang aplikasi djponline akhirnya gue juga bisa dengan mudah daftarin status wp nonaktif dan ga perlu lagi lapor lapor spt nihil tiap tahun baguslah persiapan menuju menjadi wajib pajak luar negeri seutuhnya,positive
mjb ka itu di coretax kaka ada button buat faktur sama import data ko di aku ngga ada ga apa harus impersonate dlu bru keluar soalnya klik impersonate aja gabisa,negative
dagelan coretax mulai dr tampilan dll jelek banget sumpah,negative
oke barusan nyoba aplikasi coretax tampilannya jelek lemot tapi akhirnya dong gue bisa bikin kode billing tagihan pajak gue yang ga bisa gue bayar karena waktu itu e billing ga terima nomor tagihannya akhirnya ya lunas sudah kewajiban saya untukmu indonesia,negative
duh njir tengah malem malah kepikiran coretax off x dl dh,negative
kalo bicara sistem ya semua yang terlibat di dalam produk coretax ini punya andil kesalahan tapi yang paling salah tetep djp coretax dummy sudah ada sejak beberapa bulan lalu ada pilihan untuk dimaksimalkan dulu misalnya paling nggak ngurangin kegaduhan,positive
januari baru berjalan hari gweh udah dibikin pusing sama coretax,negative
coretax tuh aplikasi apa ya kak,neutral
klo djponline eror kan si efaktur kagak eror yah ini klo coretax error mampus aja gabisa lapor pph bikin faktur ppn pun kagak bisa,negative
wingklok sim c presidential threshold haechan lee coretax g yeng resolusi hemat belanja memulai mulyono marwah polisi mahkamah konstitusi qrisbri onlyfriendsdreamon unit senyum orangnya,neutral
mau jeleknya djponline ttp tampilannya lebih oke drpd si coretax maksa bgt semua sistem pph dan ppn jd web ya jd begini deh,negative
untuk phrases di coretax jika ingin diganti apakah bisa lalu bagaimana caranya,neutral
xml nya katanya terbatas ya row nya di coretax not to mention blm ada aturan teknis ttg faktur pajak apakah atau karena bakal beda masuk ke sap nya ttg pengakuan dpp otherwise summary akhir akan rumit di internal makin mudah dipressure oleh ar nanti ketika sp dk,negative
sumpah iya gue juga bingung mana coretax masih trouble kocaaaak ga jelas bgt,negative
gak tau berapa anggaran buat coretax tampilan b aja gak ada yg menarik,negative
coretax terlalu dipaksakan kemenkeu gak mau diajak fgd yg penting ada perubahan masalah server down urusan wp,negative
minta maaf ga bisa balikin waktu kita nunggu pas akses coretax hadeu,negative
mampos kalean semakn ribet,negative
drpd musingin pmk mah lbh pusing coretax yg sistemnya down mulu,negative
acct guy here seharian di kantor kt dealing dengan bahas how to interface sap dengan format faktur pajak coretax data apa yg available apa yg kurang sap to excel to xml or direct sap to xml krn format keduanya neda tipis tapi beda,neutral
lagi pusing mikirin coretax,neutral
akhirnya coretax bisa diakses juga,neutral
pelaporan semua pajak jd pintu gt tadinya kan terpencar desktop website skrg ke web coretax itu yg big plannya pengen ngesync ke transaksi bank kek negara maju gt tp boro boro nah ini baru rilis udh ga bs dibuka mulu nantinya pelaporan pajak pribadi jg di situ,negative
jasa buat npwp tuh trusted gasih aku cape bgt dari tadi siang gabisa buat npwp mau dari coretax ataupun ereg kalo offline ribet ga ya ih kesel bgt deh,negative
haechan lee coretax g yeng resolusi hemat belanja memulai mulyono marwah polisi mahkamah konstitusi qrisbri onlyfriendsdreamon unit senyum orangnya,neutral
puseeeengg sblm coretax aja laporan bulanan susye pol plis kembalikan e spt yg dulu,negative
jadi gimana hari pertama pake coretax,neutral
min mohon pencerahan coretax sbg wp op kalau lapoe spt op tahunan apakah msh bisa lewat djponline atau lewat coretax,neutral
tolonglah kalo mau coretax minimal lancarin dulu login djponline renjani sama ereg,neutral
min saya mau coba pindahbuku melalui coretax tp kno keluar ini ya langkah yg harus d lakukan apa,neutral
the audacity padahal coretax nya down tapi djp membanggakan peluncuran coretax menyala bapak presiden baca repply dan qrt nya deh gimana djp gak dirujak i guess djp bisa kita nobatkan sebagai ditjen paling stoic namaste on serious note ini apa gak ada yg,positive
coretax kusut cuy padahal sudah diresmikan oleh presiden,negative
ga ngerti pakenya pas dibuka juga lemotnya bener deh balik lg aja ky sbelumnya sih pake coretax malah bikin bingung,negative
kak ini coretax knp epbk nya gabisa yah,negative
telkom indonesia mendukung transformasi digital perbankan di ikn melalui kolaborasi dengan bank kaltimtara sumber polisi coretax qrisbri telkomindonesia ikn bankkaltimtara telkomforyou bumn elevatingyourfuture,neutral
sehat sehat dah buat staff fat ada yg pusing mikir ppn mikirin coretax pula,positive
semangat deh buat kawan bagian perhumasan ga kebayang hebohnya kayak gimana di sana combo banget kena pmk sama coretax jaga kesehatan jasmani dan rohani ya teman,positive
role di coretax itu apa aja yaa saya mau cek daritadi sulit buat akses website coretax,neutral
coretax oh coretax sampai jam segini pun gua masih blm bisa masuk ke website nyaaa,negative
sumpek banget isi tl tentang pajak tim yg belum mempelajari coretax jg liat di tl seliweran kek ribet banget ngitungnya mana buat invoicenya masih manual,negative
gue kemarin ikut sosialisasinya kan kak coretax ini keliatan segalanya masih awut awutan dari developer si coretax nih maksa banget jalan awal taun kan tai,negative
kak untuk coretax ini loginnya dengan npwp badan atau picnya ya,neutral
ges cuma mau info seputar info ttg coretax klo kalian mau coba import xml ke coretax tapi gagal coba nntn ini deh terima kasih bgt sama bapak nya cuma gemesh pas udh slsi upload faktur keluaran ga dikasih liat hasil faktur nya penasaran,positive
besok masih bergelut ama login coretax direktur yang belom bisa hhh dah mana draft invoice diubah juga,neutral
keliatan banget kan pmk ini dibuat dgn buru apalagi coretax ini sejak awal dirancang untuk ppn setelah perubahan yang tiba habislah kacau semuanya,negative
hari ini digempur coretax perhitungan ppn terupdate ditanya tanyain gaji approval djp down system mikirin rakor laporan keuangan spt lapor pajak masa desember ajp seluruh tahun sebanyak pikiran ini trnyta gak punya duit v otw puasa,negative
st day melawan coretax dkk lgsg demam,negative
tadi siang lewat di tl tapi gak bisa sedih karena lagi pusingin coretax sekarang lewat lagi di tl nangis dah gw,negative
ngerti ga ngerti kak udah ikut kelas coretax sih ntr klo ad yg mau d tanya gw konsul yak,negative
ini gue gmn kelarin pph kalo coretax masih error ga tenang deh liburan weekend gue masa bawa laptop,positive
gw gila grgr ngurus coretax,positive
coretax masih gini gini aja bjir kerjaan gua numpuk ini mau bikin pic kaga kelar,negative
awali tahun dengan closing desember coretax rekap pph setahun adjustment audit collect bukti potong pph ytd report activity plan kpi,neutral
masak gara jadi down berarti ada yg salah ama sistemnya coretax,negative
ya allah kuatkan aku besok menghadapi djp coretax yang server down terus,negative
sekarang kesabaran kita diuji oleh sipd dan coretax,neutral
sampe detik ini coretax msh blm normal jg kah,negative
polisi ohhh pulisi gmn ini jenderal bawahan anda tak sepenuh hati jalankan tugas ojol penjilat bu sri pagii coretax sakit sim c intim mk,negative
uu hpp gak bisa dirubah bikin pmk coretax dipakai per januari baru di launching desember emang situ yang paling punya aturan wp mah ngalah yg penting setor,negative
disisi lain wp juga perlu segera kerja bikin faktur habis ini bikin bukpot dll tp tools nya a k a coretax masih nggak ready belum lagi wacana pps mksdku tuh kalo emang sdm nya gak se mumpuni itu itu membuat perubahan gak usah buru bikin gebrakan satu aja lah,negative
karna nnt pasti ada selisih trus atas selisih itu scr internal mau diakuin apa jg masih abu belum lagi coretax yg baru hari ini bisa diakses itu pun juga setengah cuman bisa ganti password aja pengajuan sertel belum berhasil,negative
wkwkwkwkwk maapkan soalnya pusing sama coretax,negative
kalo invoice sih bisa ya kalo app custom di web coretax nya ngisi manual nilai nya,neutral
bener td ane mau bkin faktur trus cek ke coretax lah ga bsa dibuka duh kacau kebiasaan implementasi dlu mslah lancar apa engga servernya ya belakangan,negative
meskipun bukan idamanmu tapi aku limited sim c udah gultik g yeng coretax,negative
web coretax masih error gini gimana mau buat faktur pajak,negative
min apakah ini tandanya saya sudah berhasil daftar coretax dan tinggal menunggu email masuk dulu ya untuk bisa gunakan coretax karena mau buat faktur pajak keluaran min utk januari belum bisa berarti ya,neutral
segala adalagi coretax hadeehhh,positive
abis pulang dr magang hari pertama hari ini materinya tentang ppn dan coretax asli konsultan pajak juga kayaknya masih bingung dengan pembaruan ini,negative
masuk coretax aja masih gagal,negative
kalau konsepnya tersambung dengan dukcapil ketika kita ngurus surat kematian seharusnya sudah otomatis terbaca di coretax,neutral
kesabaranku hari ini bnyk diuji oleh coretax,positive
